chrom	start	end	strand	type	Name	intron_type
chrmt	13987	16434	+	intron	Q0045_intron	mitochondrial_mRNA_intron
chrmt	16471	18953	+	intron	Q0045_intron	mitochondrial_mRNA_intron
chrmt	18992	20507	+	intron	Q0045_intron	mitochondrial_mRNA_intron
chrmt	20985	21994	+	intron	Q0045_intron	mitochondrial_mRNA_intron
chrmt	22247	23611	+	intron	Q0045_intron	mitochondrial_mRNA_intron
chrmt	23747	25317	+	intron	Q0045_intron	mitochondrial_mRNA_intron
chrmt	25343	26228	+	intron	Q0045_intron	mitochondrial_mRNA_intron
chrmt	24871	24905	+	intron	Q0075_intron	mitochondrial_mRNA_intron
chrmt	36955	37722	+	intron	Q0110_intron	mitochondrial_mRNA_intron
chrmt	36955	37722	+	intron	Q0115_intron	mitochondrial_mRNA_intron
chrmt	37737	39140	+	intron	Q0115_intron	mitochondrial_mRNA_intron
chrmt	36955	37722	+	intron	Q0120_intron	mitochondrial_mRNA_intron
chrmt	37737	39140	+	intron	Q0120_intron	mitochondrial_mRNA_intron
chrmt	39218	40840	+	intron	Q0120_intron	mitochondrial_mRNA_intron
chrmt	36955	37722	+	intron	Q0105_intron	mitochondrial_mRNA_intron
chrmt	37737	39140	+	intron	Q0105_intron	mitochondrial_mRNA_intron
chrmt	39218	40840	+	intron	Q0105_intron	mitochondrial_mRNA_intron
chrmt	41091	42507	+	intron	Q0105_intron	mitochondrial_mRNA_intron
chrmt	42559	43296	+	intron	Q0105_intron	mitochondrial_mRNA_intron
chrmt	60725	61867	+	intron	Q0158_intron	mitochondrial_mRNA_intron
chrmt	75623	75662	+	intron	Q0255_intron	mitochondrial_mRNA_intron
chrmt	75873	75903	+	intron	Q0255_intron	mitochondrial_mRNA_intron
